"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b1","b3","b4","b5","b6.1"
"9063",43470,"64",2,2,57,1,1,1,1,NA,4,4,4,19,29312.5,7800,2,2,3200,635,7800,500,1,1,1,NA,NA
"9064",43470,"64",2,1,58,1,1,1,4,NA,4,5,9,19,29312.5,7800,2,2,3200,635,7800,500,1,1,NA,NA,NA
"9065",43476,"64",4,2,30,1,1,1,2,2,2,5,9,17,12132,7800,2,2,3200,635,7800,500,6,1,NA,NA,2
"9066",43476,"64",4,1,33,1,1,1,2,1,2,5,9,17,12132,7800,2,2,3200,635,7800,500,1,1,1,NA,1
"9067",43482,"64",3,1,47,1,1,1,4,2,4,4,5,21,20188.3333333333,7800,2,2,3200,635,7800,500,9,1,1,2,2
"9068",43482,"64",3,2,47,1,1,1,4,2,4,5,8,21,20188.3333333333,7800,2,2,3200,635,7800,500,6,1,2,2,2
"9069",43482,"64",3,1,21,2,1,1,4,1,3,5,9,21,20188.3333333333,7800,2,2,3200,635,7800,500,1,2,2,2,1
"9070",43488,"64",5,1,26,1,1,1,4,NA,2,5,9,18,18742.8,7800,2,2,3200,635,7800,500,1,1,NA,1,NA
"9071",43488,"64",5,1,50,1,1,1,4,NA,3,5,9,18,18742.8,7800,2,2,3200,635,7800,500,1,1,NA,1,NA
"9072",43488,"64",5,2,23,1,1,1,4,NA,2,5,9,18,18742.8,7800,2,2,3200,635,7800,500,1,1,NA,NA,NA
"9073",43488,"64",5,2,49,1,1,1,4,NA,3,5,9,18,18742.8,7800,2,2,3200,635,7800,500,1,1,NA,NA,NA
"9074",43494,"64",4,1,39,1,1,1,4,1,4,5,9,6,9019.5,6540,1,1,2680,893,6540,2890,8,1,NA,2,1
"9075",43494,"64",4,2,38,1,1,1,4,1,4,5,9,6,9019.5,6540,1,1,2680,893,6540,2890,6,1,1,2,1
"9076",43500,"64",2,1,43,1,0,1,4,1,4,4,5,4,18117.5,6540,1,1,2680,893,6540,2890,8,1,NA,NA,1
"9077",43500,"64",2,2,47,1,0,1,4,2,4,4,5,4,18117.5,6540,1,1,2680,893,6540,2890,6,1,NA,NA,2
"9078",43506,"64",5,1,44,1,1,1,4,1,4,5,8,6,9367.8,6540,1,1,2680,893,6540,2890,8,1,2,2,1
"9079",43506,"64",5,2,44,1,1,1,2,1,4,5,8,6,9367.8,6540,1,1,2680,893,6540,2890,6,1,2,2,1
"9080",43506,"64",5,2,20,2,1,1,4,NA,1,11,15,6,9367.8,6540,1,1,2680,893,6540,2890,2,NA,NA,NA,NA
"9081",43506,"64",5,2,21,2,1,1,2,NA,1,11,16,6,9367.8,6540,1,1,2680,893,6540,2890,2,NA,NA,NA,NA
"9082",43512,"64",4,2,31,1,0,1,4,1,4,5,8,3,12314.5,6540,1,1,2680,893,6540,2890,6,1,1,2,1
"9083",43512,"64",4,1,33,1,0,1,4,1,4,5,9,3,12314.5,6540,1,1,2680,893,6540,2890,1,2,NA,2,1
"9084",43518,"64",3,2,40,1,0,1,4,NA,4,5,8,5,16414.3333333333,6540,1,1,2680,893,6540,2890,6,1,1,2,NA
"9085",43518,"64",3,1,38,1,0,1,4,NA,4,4,5,5,16414.3333333333,6540,1,1,2680,893,6540,2890,1,1,2,1,NA
"9086",43524,"64",5,1,54,1,0,1,4,1,4,1,NA,10,21554.6,6540,1,1,2680,893,6540,2890,8,1,NA,NA,1
"9087",43524,"64",5,2,20,1,0,1,4,NA,3,5,9,10,21554.6,6540,1,1,2680,893,6540,2890,6,1,NA,NA,NA
"9088",43524,"64",5,1,25,1,0,1,4,NA,3,5,9,10,21554.6,6540,1,1,2680,893,6540,2890,8,1,NA,1,NA
"9089",43524,"64",5,2,52,1,0,1,4,NA,4,1,NA,10,21554.6,6540,1,1,2680,893,6540,2890,6,1,NA,NA,NA
"9090",43530,"64",4,1,43,1,1,1,4,1,4,5,8,5,16293.25,6540,1,1,2680,893,6540,2890,1,1,NA,2,1
"9091",43530,"64",4,2,20,2,1,1,4,1,1,6,12,5,16293.25,6540,1,1,2680,893,6540,2890,1,2,NA,2,1
"9092",43530,"64",4,1,17,2,1,1,4,NA,3,6,12,5,16293.25,6540,1,1,2680,893,6540,2890,2,NA,NA,NA,NA
"9093",43530,"64",4,2,44,1,1,1,4,2,4,4,5,5,16293.25,6540,1,1,2680,893,6540,2890,6,1,1,2,2
"9094",43536,"64",4,2,52,4,1,1,4,NA,4,1,NA,3,13738.25,6540,1,1,2680,893,6540,2890,6,NA,NA,NA,NA
"9095",43536,"64",4,1,26,1,1,1,4,1,3,5,9,3,13738.25,6540,1,1,2680,893,6540,2890,9,1,NA,2,1
"9096",43536,"64",4,2,25,1,1,1,4,1,3,5,9,3,13738.25,6540,1,1,2680,893,6540,2890,6,1,NA,2,1
"9097",43542,"64",4,1,40,1,1,1,4,1,2,5,9,3,8449.5,6540,1,1,2680,893,6540,2890,8,1,1,2,1
"9098",43542,"64",4,2,37,1,1,1,4,2,2,4,6,3,8449.5,6540,1,1,2680,893,6540,2890,6,1,1,2,2
"9099",43548,"64",4,1,35,1,1,1,4,2,3,5,9,16,2234.75,7680,1,2,4800,325,7680,4600,1,1,2,2,2
"9100",43548,"64",4,2,28,1,1,1,4,2,3,5,9,16,2234.75,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9101",43554,"64",5,1,57,1,1,1,4,2,3,5,7,10,14326.4,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9102",43554,"64",5,2,25,1,1,2,2,1,1,5,9,10,14326.4,7680,1,2,4800,325,7680,4600,1,2,2,2,1
"9103",43554,"64",5,1,26,1,1,2,2,1,1,8,12,10,14326.4,7680,1,2,4800,325,7680,4600,1,2,2,2,1
"9104",43554,"64",5,2,56,1,1,1,4,2,3,4,5,10,14326.4,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9105",43560,"64",4,2,37,1,1,1,4,1,2,5,7,9,8012.5,7680,1,2,4800,325,7680,4600,6,1,2,2,1
"9106",43560,"64",4,1,37,1,1,1,4,1,2,5,7,9,8012.5,7680,1,2,4800,325,7680,4600,6,1,2,2,1
"9107",43566,"64",5,2,58,1,1,1,4,2,4,1,0,10,19413.8,7680,1,2,4800,325,7680,4600,8,1,2,2,2
"9108",43566,"64",5,2,34,1,1,1,4,2,3,5,9,10,19413.8,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9109",43566,"64",5,1,36,1,1,1,4,2,3,5,9,10,19413.8,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9110",43572,"64",5,1,34,1,1,1,4,1,3,5,9,11,9765.6,7680,1,2,4800,325,7680,4600,1,2,2,2,1
"9111",43572,"64",5,2,33,1,1,1,4,2,3,5,9,11,9765.6,7680,1,2,4800,325,7680,4600,6,1,1,2,2
"9112",43578,"64",4,1,33,1,1,1,4,1,4,5,NA,9,21408.75,7680,1,2,4800,325,7680,4600,9,1,2,2,1
"9113",43578,"64",4,2,33,1,1,1,4,1,4,5,NA,9,21408.75,7680,1,2,4800,325,7680,4600,6,1,1,2,1
"9114",43584,"64",4,2,38,1,1,1,4,2,4,5,9,8,8611.75,7680,1,2,4800,325,7680,4600,6,1,2,NA,2
