"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","v1501.1","v1511","b6.1","b6_1","b13_1","b14","b15","e31","v1409","t122","v1601","v1602","v1611","v1621","v1631","v1641","v1511.1","v1501.2"
"66",2092,"63",6,1,35,1,0,1,4,1,2,4,3,3.20000004768372,3482,5320,3,1,1294,5320,3100,1,4,2009,2,2009,2,NA,190,1,20,1,1,1,1,3100,5320
"67",2092,"63",6,2,33,1,0,1,4,2,2,4,3,3.20000004768372,3482,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"68",2096,"63",4,2,35,1,0,1,4,2,2,4,3,NA,3711,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"69",2096,"63",4,1,39,1,0,1,4,1,2,4,3,NA,3711,5320,3,1,1294,5320,3100,1,4,2011,2,NA,2,NA,190,1,20,1,1,1,1,3100,5320
"70",2100,"63",6,2,33,1,0,1,4,1,2,5,8,13,8121.83333333333,4160,3,2,6785,4160,2100,1,NA,2010,1,2010,NA,5,504,1,NA,1,1,1,1,2100,4160
"71",2100,"63",6,1,35,1,0,1,4,NA,2,4,3,13,8121.83333333333,4160,3,2,6785,4160,2100,NA,NA,NA,3,NA,2,5,504,1,NA,1,1,1,1,2100,4160
"72",2104,"63",3,2,44,1,1,1,4,NA,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,4160,2100,NA,NA,NA,NA,NA,NA,5,504,1,NA,1,1,1,1,2100,4160
"73",2104,"63",3,2,16,NA,1,1,4,NA,2,6,12.5,10.3000001907349,4080.66666666667,4160,3,2,6785,4160,2100,NA,NA,NA,NA,NA,NA,5,504,1,NA,1,1,1,1,2100,4160
"74",2104,"63",3,1,47,1,1,1,4,1,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,4160,2100,1,7,2011,2,NA,2,5,504,1,NA,1,1,1,1,2100,4160
"75",2108,"63",6,1,39,1,1,1,4,1,2,1,NA,NA,2441.83333333333,4160,3,2,6785,4160,2100,1,12,2010,2,2008,2,5,504,1,NA,1,1,1,1,2100,4160
"76",2108,"63",6,2,37,1,0,1,4,2,2,1,NA,NA,2441.83333333333,4160,3,2,6785,4160,2100,2,NA,NA,3,NA,NA,5,504,1,NA,1,1,1,1,2100,4160
"77",2108,"63",6,1,41,2,1,1,4,1,2,4,3,NA,2441.83333333333,4160,3,2,6785,4160,2100,1,3.29999995231628,2011,2,2009,2,5,504,1,NA,1,1,1,1,2100,4160
"78",2112,"63",4,2,30,1,0,1,4,2,3,4,3,NA,2256,4160,3,2,6785,4160,2100,2,NA,NA,3,NA,NA,5,504,1,NA,1,1,1,1,2100,4160
"79",2112,"63",4,1,27,2,1,1,4,2,3,4,6,NA,2256,4160,3,2,6785,4160,2100,2,NA,NA,2,2008,NA,5,504,1,NA,1,1,1,1,2100,4160
"80",2112,"63",4,1,41,1,1,1,4,1,3,4,3,NA,2256,4160,3,2,6785,4160,2100,1,11,2010,2,2007,2,5,504,1,NA,1,1,1,1,2100,4160
"81",2116,"63",6,1,60,1,1,1,4,1,3,4,3,30,6172.5,4160,3,2,6785,4160,2100,1,5,2011,2,2000,2,5,504,1,NA,1,1,1,1,2100,4160
"82",2116,"63",6,2,31,1,1,1,4,2,3,1,NA,30,6172.5,4160,3,2,6785,4160,2100,2,NA,NA,3,NA,NA,5,504,1,NA,1,1,1,1,2100,4160
"83",2116,"63",6,2,60,1,1,1,4,2,4,4,3,30,6172.5,4160,3,2,6785,4160,2100,2,NA,NA,3,NA,NA,5,504,1,NA,1,1,1,1,2100,4160
"84",2116,"63",6,1,36,1,1,1,4,1,3,4,6,30,6172.5,4160,3,2,6785,4160,2100,1,3,2011,2,2006,2,5,504,1,NA,1,1,1,1,2100,4160
"85",2120,"63",5,2,39,1,0,1,4,2,3,2,NA,NA,1717,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,2,4,255,1,70,1,2,2,2,1850,3420
"86",2120,"63",5,1,41,1,0,1,4,1,3,5,8,NA,1717,3420,3,1,4700,3420,1850,1,2,2011,NA,2001,2,4,255,1,70,1,2,2,2,1850,3420
"87",2120,"63",5,2,16,NA,0,1,4,NA,3,6,11.5,NA,1717,3420,3,1,4700,3420,1850,NA,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"88",2124,"63",4,2,36,1,1,1,4,2,2,4,3,18,4231,3420,3,1,4700,3420,1850,2,NA,NA,3,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"89",2124,"63",4,2,16,2,1,1,4,NA,1,6,11.5,18,4231,3420,3,1,4700,3420,1850,NA,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"90",2124,"63",4,1,41,1,1,1,4,2,2,5,8,18,4231,3420,3,1,4700,3420,1850,2,NA,NA,3,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"91",2128,"63",6,2,17,2,0,1,4,2,2,5,2.5,25,7374.83333333333,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"92",2128,"63",6,2,55,4,0,1,4,2,3,1,NA,25,7374.83333333333,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"93",2128,"63",6,2,32,1,0,1,4,2,2,6,12,25,7374.83333333333,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"94",2128,"63",6,1,35,1,0,1,1,2,2,9,15,25,7374.83333333333,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"95",2132,"63",4,1,48,3,1,1,4,2,1,1,NA,18,3823,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"96",2132,"63",4,1,28,2,1,1,4,2,1,5,8,18,3823,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"97",2136,"63",9,2,46,1,0,1,4,2,2,1,NA,28,2386.66666666667,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"98",2136,"63",9,1,49,1,0,1,4,2,2,4,3,28,2386.66666666667,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"99",2136,"63",9,1,27,1,0,1,4,1,2,5,7,28,2386.66666666667,3420,3,1,4700,3420,1850,1,4,2011,NA,NA,2,4,255,1,70,1,2,2,2,1850,3420
"100",2136,"63",9,2,18,2,0,1,4,2,2,5,8,28,2386.66666666667,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"101",2136,"63",9,1,20,2,0,1,4,2,2,5,8,28,2386.66666666667,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"102",2136,"63",9,2,39,2,0,1,4,2,2,4,3,28,2386.66666666667,3420,3,1,4700,3420,1850,2,NA,NA,NA,NA,NA,4,255,1,70,1,2,2,2,1850,3420
"103",2140,"63",6,2,44,1,1,1,4,2,2,4,3,11,36178.8333333333,4400,3,2,3750,4400,2400,2,NA,NA,3,NA,NA,1,324,1,35,1,1,1,1,2400,4400
"104",2140,"63",6,1,25,1,1,1,4,1,2,5,8,11,36178.8333333333,4400,3,2,3750,4400,2400,1,6,2010,2,NA,2,1,324,1,35,1,1,1,1,2400,4400
"105",2140,"63",6,2,23,1,1,1,4,1,2,5,8,11,36178.8333333333,4400,3,2,3750,4400,2400,1,6,2011,2,NA,2,1,324,1,35,1,1,1,1,2400,4400
"106",2140,"63",6,1,45,1,1,1,4,1,2,4,3,11,36178.8333333333,4400,3,2,3750,4400,2400,1,4.8,2011,2,NA,2,1,324,1,35,1,1,1,1,2400,4400
"107",2144,"63",4,1,30,1,1,1,4,1,2,5,8,23,6913,4400,3,2,3750,4400,2400,1,7,2011,NA,2005,2,1,324,1,35,1,1,1,1,2400,4400
"108",2144,"63",4,2,26,1,1,1,4,2,2,5,8,23,6913,4400,3,2,3750,4400,2400,2,NA,NA,NA,NA,NA,1,324,1,35,1,1,1,1,2400,4400
"109",2148,"63",4,1,17,2,1,1,4,NA,2,6,11.5,15,12853.25,4400,3,2,3750,4400,2400,NA,NA,NA,NA,NA,NA,1,324,1,35,1,1,1,1,2400,4400
"110",2148,"63",4,2,36,1,1,1,4,2,2,4,4,15,12853.25,4400,3,2,3750,4400,2400,2,NA,NA,3,NA,NA,1,324,1,35,1,1,1,1,2400,4400
