"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b06","b11","b01","b02","CookMthd","b04","b05","a16","a18","h28","h29","a19","a20","a17","a21"
"73",6312,"63",3,2,16,NA,1,1,4,2,6,12.5,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,105,40000,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"74",6312,"63",3,1,47,1,1,1,4,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,105,40000,2,3,"Coal",1,1,1,5,2,NA,1,10,1,2
"75",6324,"63",6,1,39,1,1,1,4,2,1,NA,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,165,50000,2,3,"Coal",1,1,1,0,2,NA,1,10,1,2
"76",6324,"63",6,2,37,1,0,1,4,2,1,NA,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,165,50000,2,3,"Coal",1,1,1,0,2,NA,NA,NA,1,2
"77",6324,"63",6,1,41,2,1,1,4,2,4,3,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,165,50000,2,3,"Coal",1,1,1,0,2,NA,NA,5,2,2
"78",6336,"63",4,2,30,1,0,1,4,3,4,3,NA,2256,4160,3,2,6785,504,4160,2100,105,42000,2,3,"Coal",1,1,1,5,3,NA,NA,NA,1,2
"79",6336,"63",4,1,27,2,1,1,4,3,4,6,NA,2256,4160,3,2,6785,504,4160,2100,105,42000,2,3,"Coal",1,1,1,NA,3,NA,0,5,1,2
"80",6336,"63",4,1,41,1,1,1,4,3,4,3,NA,2256,4160,3,2,6785,504,4160,2100,105,42000,2,3,"Coal",1,1,1,NA,3,NA,0,10,1,2
"81",6348,"63",6,1,60,1,1,1,4,3,4,3,30,6172.5,4160,3,2,6785,504,4160,2100,100,38000,2,3,"Coal",1,1,1,0,2,NA,1,20,1,1
"82",6348,"63",6,2,31,1,1,1,4,3,1,NA,30,6172.5,4160,3,2,6785,504,4160,2100,100,38000,2,3,"Coal",1,1,1,0,2,NA,NA,NA,1,2
"83",6348,"63",6,2,60,1,1,1,4,4,4,3,30,6172.5,4160,3,2,6785,504,4160,2100,100,38000,2,3,"Coal",1,1,1,0,2,NA,NA,NA,1,1
"84",6348,"63",6,1,36,1,1,1,4,3,4,6,30,6172.5,4160,3,2,6785,504,4160,2100,100,38000,2,3,"Coal",1,1,1,0,2,NA,NA,10,1,2
"85",6360,"63",5,2,39,1,0,1,4,3,2,NA,NA,1717,3420,3,1,4700,255,3420,1850,120,25000,2,NA,"Coal",1,1,1,0,3,NA,NA,NA,1,2
"86",6360,"63",5,1,41,1,0,1,4,3,5,8,NA,1717,3420,3,1,4700,255,3420,1850,120,25000,2,NA,"Coal",1,1,1,0,3,NA,1,10,1,2
"87",6360,"63",5,2,16,NA,0,1,4,3,6,11.5,NA,1717,3420,3,1,4700,255,3420,1850,120,25000,2,NA,"Coal",1,1,1,0,3,NA,NA,NA,1,NA
"88",6372,"63",4,2,36,1,1,1,4,2,4,3,18,4231,3420,3,1,4700,255,3420,1850,120,40000,2,3,"Coal",1,1,1,0,1,NA,NA,NA,1,2
"89",6372,"63",4,2,16,2,1,1,4,1,6,11.5,18,4231,3420,3,1,4700,255,3420,1850,120,40000,2,3,"Coal",1,1,1,0,1,NA,NA,NA,1,2
"90",6372,"63",4,1,41,1,1,1,4,2,5,8,18,4231,3420,3,1,4700,255,3420,1850,120,40000,2,3,"Coal",1,1,1,0,1,NA,1,5,1,2
"91",6384,"63",6,2,17,2,0,1,4,2,5,2.5,25,7374.83333333333,3420,3,1,4700,255,3420,1850,120,25000,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"92",6384,"63",6,2,55,4,0,1,4,3,1,NA,25,7374.83333333333,3420,3,1,4700,255,3420,1850,120,25000,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"93",6384,"63",6,2,32,1,0,1,4,2,6,12,25,7374.83333333333,3420,3,1,4700,255,3420,1850,120,25000,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"94",6384,"63",6,1,35,1,0,1,1,2,9,15,25,7374.83333333333,3420,3,1,4700,255,3420,1850,120,25000,2,3,"Coal",1,1,1,NA,2,NA,1,20,1,2
"95",6396,"63",4,1,48,3,1,1,4,1,1,NA,18,3823,3420,3,1,4700,255,3420,1850,150,30000,2,3,"Coal",1,1,1,NA,3,NA,1,15,1,2
"96",6396,"63",4,1,28,2,1,1,4,1,5,8,18,3823,3420,3,1,4700,255,3420,1850,150,30000,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"97",6408,"63",9,2,46,1,0,1,4,2,1,NA,28,2386.66666666667,3420,3,1,4700,255,3420,1850,270,60000,2,3,"Coal",1,1,1,NA,4,1,0,NA,1,2
"98",6408,"63",9,1,49,1,0,1,4,2,4,3,28,2386.66666666667,3420,3,1,4700,255,3420,1850,270,60000,2,3,"Coal",1,1,1,NA,4,1,1,20,1,2
"99",6408,"63",9,1,27,1,0,1,4,2,5,7,28,2386.66666666667,3420,3,1,4700,255,3420,1850,270,60000,2,3,"Coal",1,1,1,NA,4,1,0,20,1,2
"100",6408,"63",9,2,18,2,0,1,4,2,5,8,28,2386.66666666667,3420,3,1,4700,255,3420,1850,270,60000,2,3,"Coal",1,1,1,NA,4,1,0,NA,1,2
"101",6408,"63",9,1,20,2,0,1,4,2,5,8,28,2386.66666666667,3420,3,1,4700,255,3420,1850,270,60000,2,3,"Coal",1,1,1,NA,4,1,1,10,1,2
"102",6408,"63",9,2,39,2,0,1,4,2,4,3,28,2386.66666666667,3420,3,1,4700,255,3420,1850,270,60000,2,3,"Coal",1,1,1,NA,4,1,0,NA,1,2
"103",6420,"63",6,2,44,1,1,1,4,2,4,3,11,36178.8333333333,4400,3,2,3750,324,4400,2400,180,1e+05,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"104",6420,"63",6,1,25,1,1,1,4,2,5,8,11,36178.8333333333,4400,3,2,3750,324,4400,2400,180,1e+05,2,3,"Coal",1,1,1,NA,3,NA,1,15,1,2
"105",6420,"63",6,2,23,1,1,1,4,2,5,8,11,36178.8333333333,4400,3,2,3750,324,4400,2400,180,1e+05,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"106",6420,"63",6,1,45,1,1,1,4,2,4,3,11,36178.8333333333,4400,3,2,3750,324,4400,2400,180,1e+05,2,3,"Coal",1,1,1,NA,3,NA,1,20,1,2
"107",6432,"63",4,1,30,1,1,1,4,2,5,8,23,6913,4400,3,2,3750,324,4400,2400,45,10000,2,3,"Coal",1,1,1,NA,3,NA,1,10,1,2
"108",6432,"63",4,2,26,1,1,1,4,2,5,8,23,6913,4400,3,2,3750,324,4400,2400,45,10000,2,3,"Coal",1,1,1,5,3,NA,NA,NA,1,2
