"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","a16","a18","h28","h29","a19","a20","a17","a21"
"127",4336,"63",5,2,22,2,1,1,4,2,1,4,5,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,1,5,3,NA,1,10,1,2
"128",4336,"63",5,2,43,1,1,1,4,2,2,4,3,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,1,3,3,NA,NA,NA,1,2
"129",4336,"63",5,1,48,1,1,1,4,1,1,5,7,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,1,3,3,NA,1,15,1,2
"130",4336,"63",5,1,20,2,1,1,4,1,1,4,5,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,1,5,3,NA,1,10,1,2
"131",4344,"63",4,1,25,2,1,1,4,1,1,5,7,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,1,2,2,NA,1,10,1,2
"132",4344,"63",4,2,45,1,1,1,4,2,2,5,7,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,1,3,2,NA,NA,NA,1,NA
"133",4344,"63",4,1,50,1,1,1,4,2,1,5,8,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,1,5,2,NA,1,20,1,2
"134",4344,"63",4,1,23,2,1,1,4,1,1,8,13,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,1,2,2,NA,2,15,1,2
"135",4352,"63",6,1,48,1,1,1,4,2,3,5,7,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,1,3,2,NA,1,15,1,2
"136",4352,"63",6,2,21,1,1,1,4,2,1,5,8,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,1,10,2,NA,NA,NA,1,2
"137",4352,"63",6,2,44,1,1,1,4,2,1,4,3,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,1,5,2,NA,NA,NA,1,2
"138",4352,"63",6,1,22,1,1,1,4,1,1,5,8,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,1,2,2,NA,1,10,1,2
"139",4352,"63",6,1,24,2,1,1,4,1,2,5,8,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,1,2,2,NA,1,10,1,2
"140",4360,"63",5,1,49,1,1,1,4,2,1,5,8,5.40000009536743,10500.4,4200,3,2,3700,410,4200,2600,1,5,3,NA,2,15,1,2
"141",4360,"63",5,1,24,1,1,1,4,1,1,5,8,5.40000009536743,10500.4,4200,3,2,3700,410,4200,2600,1,2,3,NA,1,10,1,2
"142",4360,"63",5,1,23,2,1,1,4,1,1,6,11,5.40000009536743,10500.4,4200,3,2,3700,410,4200,2600,1,2,3,NA,1,10,1,2
"143",4360,"63",5,2,21,1,1,1,4,2,1,5,7,5.40000009536743,10500.4,4200,3,2,3700,410,4200,2600,1,5,3,NA,NA,NA,1,2
"144",4360,"63",5,2,48,1,1,1,4,2,2,5,7,5.40000009536743,10500.4,4200,3,2,3700,410,4200,2600,1,3,3,NA,NA,NA,1,2
"145",4368,"63",3,1,43,1,1,1,4,1,1,5,7,10.3999996185303,11276.6666666667,4200,3,2,3700,410,4200,2600,1,3,3,NA,1,15,1,NA
"146",4368,"63",3,2,41,1,1,1,4,2,2,4,3,10.3999996185303,11276.6666666667,4200,3,2,3700,410,4200,2600,1,3,3,NA,NA,NA,1,NA
"147",4368,"63",3,1,21,2,1,1,4,1,1,5,8,10.3999996185303,11276.6666666667,4200,3,2,3700,410,4200,2600,1,2,3,NA,1,10,1,NA
"148",4376,"63",4,2,16,2,1,1,4,NA,1,5,7.5,7.5,5258.5,4200,3,2,3700,410,4200,2600,1,5,2,NA,NA,NA,1,NA
"149",4376,"63",4,1,39,1,1,1,4,1,1,4,5,7.5,5258.5,4200,3,2,3700,410,4200,2600,1,3,2,NA,1,10,1,2
"150",4376,"63",4,2,36,1,1,1,4,2,2,1,NA,7.5,5258.5,4200,3,2,3700,410,4200,2600,1,5,2,NA,NA,NA,1,2
"151",4384,"63",3,1,26,1,0,1,4,1,2,5,8,1.29999995231628,3033.33333333333,4200,3,2,3700,410,4200,2600,1,5,3,NA,1,10,1,2
"152",4384,"63",3,2,26,1,1,1,4,2,1,5,8,1.29999995231628,3033.33333333333,4200,3,2,3700,410,4200,2600,1,5,3,NA,NA,NA,1,2
"153",4392,"63",4,2,43,1,1,1,4,1,2,4,3,5.19999980926514,2153.75,4200,3,2,3700,410,4200,2600,1,5,3,NA,NA,NA,1,2
"154",4392,"63",4,1,21,2,1,1,2,NA,1,11,13,5.19999980926514,2153.75,4200,3,2,3700,410,4200,2600,1,3,3,NA,NA,NA,1,2
"155",4392,"63",4,2,17,2,1,1,2,NA,1,6,8,5.19999980926514,2153.75,4200,3,2,3700,410,4200,2600,1,3,3,NA,NA,NA,1,2
"156",4392,"63",4,1,43,1,1,1,1,1,1,4,5,5.19999980926514,2153.75,4200,3,2,3700,410,4200,2600,1,3,3,NA,1,15,1,2
"157",4400,"63",3,2,38,1,1,1,4,2,2,1,NA,10,17802.6666666667,7650,3,2,6210,605,7650,3500,1,1,3,NA,0,NA,1,2
"158",4400,"63",3,1,43,1,1,1,4,1,1,4,3,10,17802.6666666667,7650,3,2,6210,605,7650,3500,1,5,3,NA,2,NA,1,2
"159",4408,"63",4,1,48,1,1,1,4,2,3,5,7,8.39999961853027,9575.5,7650,3,2,6210,605,7650,3500,1,5,2,NA,2,NA,1,2
"160",4408,"63",4,2,45,1,1,1,4,2,3,1,NA,8.39999961853027,9575.5,7650,3,2,6210,605,7650,3500,1,3,2,NA,0,0,1,2
"161",4416,"63",4,2,39,1,0,1,4,1,3,1,NA,10.5,4831.25,7650,3,2,6210,605,7650,3500,1,0,3,NA,0,0,1,2
"162",4416,"63",4,1,18,2,0,1,4,1,3,5,8,10.5,4831.25,7650,3,2,6210,605,7650,3500,1,0,3,NA,1,10,1,2
"163",4416,"63",4,1,40,1,0,1,4,2,3,5,7,10.5,4831.25,7650,3,2,6210,605,7650,3500,1,0,3,NA,2,20,1,2
"164",4416,"63",4,2,17,2,0,1,4,NA,3,6,8.5,10.5,4831.25,7650,3,2,6210,605,7650,3500,1,0,3,NA,0,0,1,2
