"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b6","b6_1","b6_2","b13_1","b13_2","b13_3","b13_4","b14","b15","b15_1","b15_2","n1_3","n1_3_1","e30","e31","e32","e33","e38"
"71",1050,"63",6,1,35,1,0,1,4,2,4,3,13,8121.83333333333,4160,3,2,6785,504,4160,2100,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,33300,29200,1,2,2,6,NA
"72",1052,"63",3,2,44,1,1,1,4,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1052,"63",3,2,16,NA,1,1,4,2,6,12.5,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1052,"63",3,1,47,1,1,1,4,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,1,7,60,2011,6,NA,NA,2,NA,NA,NA,18000,16200,1,2,2,5,NA
"75",1054,"63",6,1,39,1,1,1,4,2,1,NA,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,1,12,60,2010,6,NA,NA,2,2008,2,6,3400,1300,1,2,2,6,NA
"76",1054,"63",6,2,37,1,0,1,4,2,1,NA,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1054,"63",6,1,41,2,1,1,4,2,4,3,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,1,3.29999995231628,60,2011,6,NA,NA,2,2009,1,6,11000,10600,1,2,2,5,NA
"78",1056,"63",4,2,30,1,0,1,4,3,4,3,NA,2256,4160,3,2,6785,504,4160,2100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1056,"63",4,1,27,2,1,1,4,3,4,6,NA,2256,4160,3,2,6785,504,4160,2100,2,NA,NA,NA,NA,NA,NA,2,2008,2,6,NA,NA,NA,NA,NA,NA,NA
"80",1056,"63",4,1,41,1,1,1,4,3,4,3,NA,2256,4160,3,2,6785,504,4160,2100,1,11,56,2010,5,NA,NA,2,2007,1,6,26000,19000,1,2,2,18,NA
"81",1058,"63",6,1,60,1,1,1,4,3,4,3,30,6172.5,4160,3,2,6785,504,4160,2100,1,5,60,2011,5,NA,NA,2,2000,2,5,7800,6800,1,2,2,5,NA
"82",1058,"63",6,2,31,1,1,1,4,3,1,NA,30,6172.5,4160,3,2,6785,504,4160,2100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1058,"63",6,2,60,1,1,1,4,4,4,3,30,6172.5,4160,3,2,6785,504,4160,2100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1058,"63",6,1,36,1,1,1,4,3,4,6,30,6172.5,4160,3,2,6785,504,4160,2100,1,3,60,2011,6,NA,NA,2,2006,1,6,5000,4000,1,2,2,5,NA
"85",1060,"63",5,2,39,1,0,1,4,3,2,NA,NA,1717,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1670,1,2,2,5,NA
