"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b2","Unemp","EmptType","b4_2","b5","b7","b10","b12","c11_1","c12","pa151"
"2483",23440,"yunnan",5,1,25,2,0,1,4,2006,0,1,48,2006,8,NA,NA,6,12,NA
"2486",23450,"yunnan",4,1,42,1,0,1,4,1994,0,0,46,1994,17,1,6,11,18,45520
"2487",23450,"yunnan",4,2,37,1,0,1,1,1996,0,0,45,2005,19,1,4,10,15,12000
"2490",23460,"yunnan",4,1,36,1,0,1,4,1998,0,0,40,1958,18,3,2,6,11,18600
"2491",23460,"yunnan",4,2,36,1,0,1,4,1999,0,0,40,1999,9,6,2,6,11,16500
"2496",23480,"yunnan",2,1,35,1,0,1,4,1999,0,0,40,1999,18,5,1,8,13,13670
"2498",23490,"yunnan",3,1,34,1,0,1,4,2001,0,0,40,2001,8,3,1,5,8,15685
"2501",23500,"yunnan",5,1,50,1,0,1,4,1987,0,1,55,1987,8,NA,NA,5,8,NA
"2503",23500,"yunnan",5,1,22,2,0,1,4,2009,0,1,55,2009,8,NA,NA,4,5,NA
"2506",23510,"yunnan",4,1,43,1,0,1,4,1992,0,0,40,1992,19,1,2,9,14,46000
"2507",23510,"yunnan",4,2,39,1,0,1,1,1994,0,0,40,1994,19,1,2,11,15,25000
"2510",23520,"yunnan",4,1,35,1,0,1,4,1999,0,0,40,1999,19,1,2,9,14,26000
"2511",23520,"yunnan",4,2,34,1,0,1,4,2000,0,0,40,2000,16,1,4,9,14,24000
"2514",23530,"yunnan",3,1,30,1,NA,1,1,1995,0,0,50,1995,19,4,5,5,9,66000
"2517",23540,"yunnan",3,1,33,1,1,1,4,2004,0,0,40,2004,16,2,5,11,16,42000
"2518",23540,"yunnan",3,2,29,1,1,1,4,2006,0,0,40,2006,16,4,4,9,15,36000
"2520",23550,"yunnan",4,2,32,1,1,1,1,1998,0,0,35,1998,16,1,3,12,15,32400
"2521",23550,"yunnan",4,1,36,1,1,1,4,1997,0,1,50,2005,8,NA,NA,6,12,NA
"2524",23560,"yunnan",4,1,55,1,1,1,4,1973,0,1,56,2004,6,NA,NA,5,9,NA
"2526",23560,"yunnan",4,2,27,2,1,1,1,2007,0,0,40,2007,19,4,2,11,16,39600
"2528",23570,"yunnan",4,1,28,1,1,2,4,2007,0,0,50,2009,6,3,2,6,12,36000
"2529",23570,"yunnan",4,2,28,1,1,1,1,2007,0,0,40,2007,19,4,2,11,16,39600
"2532",23580,"yunnan",2,2,45,4,0,1,4,1986,0,0,35,1986,14,5,1,5,8,4942
"2535",23600,"yunnan",4,1,44,1,0,1,4,1988,0,0,54,1988,9,5,2,4,5,9046
"2539",23610,"yunnan",4,1,46,1,0,1,4,1985,0,0,52,2011,5,6,1,1,NA,12000
"2543",23620,"yunnan",4,1,40,1,0,1,4,1993,0,0,46,1993,11,1,2,8,15,18000
"2544",23620,"yunnan",4,2,38,1,0,1,4,1992,0,0,51,1992,16,1,4,8,15,38400
"2547",23630,"yunnan",3,1,30,1,0,1,4,2010,0,0,25,2010,8,6,1,5,9,10800
"2548",23630,"yunnan",3,2,28,1,0,1,4,2011,0,0,28,2011,8,6,2,8,12,6000
"2550",23640,"yunnan",4,1,55,1,0,1,4,1976,0,1,48,1996,8,NA,NA,5,8,NA
"2552",23640,"yunnan",4,2,25,2,0,1,4,NA,1,NA,NA,NA,NA,NA,NA,8,14,NA
"2554",23650,"yunnan",4,1,46,1,0,1,4,1985,0,0,40,1985,19,1,3,6,10,24000
"2555",23650,"yunnan",4,2,42,1,0,1,4,1989,0,1,49,1997,15,NA,NA,8,11,NA
"2558",23660,"yunnan",2,2,39,3,0,1,1,1995,0,0,40,1995,19,1,2,11,15,33600
"2560",23670,"yunnan",4,1,34,1,0,1,4,1997,0,0,36,1997,14,5,2,6,11,12000
"2561",23670,"yunnan",4,2,33,1,0,1,4,1998,0,0,33,1998,8,5,2,5,8,6000
"2564",23680,"yunnan",4,1,43,1,0,1,1,1993,0,0,40,1993,1,1,2,11,17,34000
"2565",23680,"yunnan",4,2,41,1,0,1,1,1994,0,0,42,1994,6,1,2,11,17,50000
"2568",23690,"yunnan",4,1,49,1,0,1,1,1983,0,0,48,1990,19,1,2,10,14,36000
"2569",23690,"yunnan",4,2,48,1,0,1,1,1983,0,0,48,1983,19,1,4,10,14,36480
"2572",23700,"yunnan",1,2,55,4,0,1,4,1996,0,1,41,1996,8,NA,NA,6,10,NA
"2573",23710,"yunnan",3,1,38,1,0,1,1,1998,0,0,40,1998,18,1,2,11,17,30000
"2574",23710,"yunnan",3,2,34,1,0,1,4,2000,0,0,40,2000,19,1,2,9,14,27600
"2576",23720,"yunnan",4,1,51,1,0,1,1,1981,0,0,45,1981,1,1,1,9,13,45600
"2577",23720,"yunnan",4,2,49,1,0,1,4,1983,0,0,47,1983,1,1,1,9,13,39600
"2578",23720,"yunnan",4,1,24,2,0,1,2,2009,0,0,50,2009,17,5,6,11,16,18000
"2579",23720,"yunnan",4,2,23,2,0,1,2,NA,1,NA,NA,NA,NA,NA,NA,9,15,NA
"2582",23740,"yunnan",3,1,53,1,0,NA,4,1976,0,0,40,1976,18,6,2,5,7,27600
"2584",23740,"yunnan",3,2,24,2,0,NA,4,NA,1,NA,NA,NA,NA,NA,NA,6,12,NA
"2585",23750,"yunnan",4,1,35,1,0,1,1,1998,0,0,42,1998,19,1,3,11,14,27600
"2586",23750,"yunnan",4,2,35,1,0,1,1,1997,0,0,40,1997,19,1,3,11,14,27600
"2590",23770,"yunnan",3,1,34,1,1,1,4,1998,0,0,40,1998,4,1,6,10,15,31992
"2591",23770,"yunnan",3,2,33,1,1,1,4,2000,0,0,40,2000,17,4,5,8,12,57600
"2593",23780,"yunnan",2,1,47,1,1,2,4,1987,0,1,56,2006,17,4,5,6,11,NA
"2594",23780,"yunnan",2,2,50,1,1,2,4,1979,0,1,56,2006,17,4,5,10,12,NA
"2595",23790,"yunnan",3,1,45,1,1,1,1,1988,0,0,40,2007,19,1,2,12,16,60660
"2596",23790,"yunnan",3,2,45,1,1,1,4,1989,0,0,48,1989,18,1,3,11,15,137
"2598",23800,"yunnan",4,1,41,1,1,2,4,1996,0,1,48,2011,1,NA,NA,5,8,NA
"2599",23800,"yunnan",4,2,39,1,1,2,4,1996,0,1,48,2011,1,NA,NA,5,8,NA
"2602",23810,"yunnan",1,2,51,4,1,1,1,1979,0,0,40,1995,19,4,3,10,10,51564
"2603",23820,"yunnan",3,1,46,1,1,1,4,1982,0,1,40,1982,6,1,2,9,13,NA
"2604",23820,"yunnan",3,2,45,1,1,1,1,1985,0,0,40,2008,9,1,6,11,15,39540
"2606",23830,"yunnan",3,1,43,1,1,1,1,1990,0,0,40,1990,10,4,2,12,15,78000
"2607",23830,"yunnan",3,2,38,1,1,1,1,1994,0,0,40,1994,10,4,2,8,10,27600
"2611",23850,"yunnan",3,2,47,1,1,1,4,1981,0,0,48,2011,15,6,2,9,15,NA
"2617",23870,"yunnan",3,1,42,1,1,1,1,1991,0,0,40,2008,19,4,2,11,16,43000
"2618",23870,"yunnan",3,2,44,1,1,1,1,1993,0,0,40,2010,5,1,2,9,15,42000
"2622",23880,"yunnan",5,1,34,1,1,1,2,2000,0,0,48,2000,7,1,4,6,9,18000
"2623",23880,"yunnan",5,2,28,1,1,2,2,2006,0,0,48,2006,7,6,4,5,6,12000
"2627",23900,"yunnan",3,1,29,1,1,1,1,2005,0,0,48,2005,19,4,7,9,15,41000
"2628",23900,"yunnan",3,2,29,1,1,1,1,2006,0,0,40,2006,19,4,2,12,16,32000
"2630",23910,"yunnan",3,1,43,1,1,1,4,1988,0,1,56,1989,1,6,3,9,12,21600
"2631",23910,"yunnan",3,2,32,1,1,1,4,2000,0,0,44,2002,5,6,3,9,12,24000
"2633",23920,"yunnan",4,1,41,1,1,1,4,1989,0,0,48,19,7,4,4,8,9,21600
"2634",23920,"yunnan",4,2,41,1,1,1,4,1989,0,0,48,19,8,3,2,6,9,36000
"2637",23930,"yunnan",4,2,45,1,1,1,1,1988,0,0,40,1988,1,4,2,12,16,47556
